"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"1431502901","AOH","Hemerorhinus opici","281009","exact","Hemerorhinus opici","281009","Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae","Hemerorhinus","","opici",,"Hemerorhinus opici","","33","demersal",
"2312114501","CRQ","Chionoecetes opilio","107315","exact","Chionoecetes opilio","107315","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","","opilio",,"Chionoecetes opilio","Queen crab","42","crustaceans",
"3161101601","KIO","Marcia opima","507769","exact","Marcia opima","507769","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Marcia","","opima",,"Marcia opima","Fertile venus","56","molluscs",
"3210200238","IAQ","Sepia opipara","342157","exact","Sepia opipara","342157","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia","","opipara",,"Sepia opipara","Magnificent cuttlefish","57","molluscs",
"1580601501","GMO","Grammonoides opisthodon","220363","exact","Grammonoides opisthodon","301708","Animalia","Chordata","Actinopterygii","Ophidiiformes","Bythitidae","Grammonoides","","opisthodon",,"Grammonoides opisthodon","Bighead brotula","33","demersal",
"1320803205","GYO","Gymnoscopelus opisthopterus","234749","exact","Gymnoscopelus opisthopterus","234749","Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus","","opisthopterus",,"Gymnoscopelus opisthopterus","","34","demersal",
"2283600203","XHO","Exhippolysmata oplophoroides","421776","exact","Exhippolysmata oplophoroides","421776","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Exhippolysmata","","oplophoroides",,"Exhippolysmata oplophoroides","Cock shrimp","45","crustaceans",
"1732117602","NZG","Oplopomus oplopomus","219523","exact","Oplopomus oplopomus","219523","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Oplopomus","","oplopomus",,"Oplopomus oplopomus","Spinecheek goby","33","demersal",
"1480100104","MWO","Muraenolepis orangiensis","234824","exact","Muraenolepis orangiensis","234824","Animalia","Chordata","Actinopterygii","Gadiformes","Muraenolepididae","Muraenolepis","","orangiensis",,"Muraenolepis orangiensis","Patagonian moray cod","32","demersal",
"1101300215","RUQ","Urolophus orarius","283106","exact","Urolophus orarius","283106","Animalia","Chordata","Elasmobranchii","Rajiformes","Urolophidae","Urolophus","","orarius",,"Urolophus orarius","Coastal stingaree","38","elasmobranchs",
"2250100202","OQO","Oratosquilla oratoria","395015","exact","Oratosquilla oratoria","395015","Animalia","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Oratosquilla","","oratoria",,"Oratosquilla oratoria","Japanese squillid mantis shrim","47","crustaceans",
"1900300102","DVH","Cyclichthys orbicularis","219968","exact","Cyclichthys orbicularis","219968","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Cyclichthys","","orbicularis",,"Cyclichthys orbicularis","Birdbeak burrfish","33","demersal",
"3163000201","KKO","Codakia orbicularis","420787","exact","Codakia orbicularis","420787","Animalia","Mollusca","Bivalvia","Lucinoida","Lucinidae","Codakia","","orbicularis",,"Codakia orbicularis","Atlantic tiger lucine","56","molluscs",
"1740520601","LXR","Platax orbicularis","218711","exact","Platax orbicularis","218711","Animalia","Chordata","Actinopterygii","Perciformes","Ephippidae","Platax","","orbicularis",,"Platax orbicularis","Orbicular batfish","33","demersal",
